hogar_alpes_pulsar  | 2026-09-21T04:28:11,764+0000 [pulsar-web-47-18] INFO  org.apache.pulsar.broker.admin.impl.BrokersBase - [null] Running healthCheck with topic=persistent://pulsar/standalone/localhost:8080/healthcheck
hogar_alpes_pulsar  | 2026-09-21T04:28:11,765+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [null] Creating producer on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650]
hogar_alpes_pulsar  | 2026-09-21T04:28:11,766+0000 [broker-topic-workers-OrderedExecutor-7-0] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Created new producer: Producer{topic=SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}, client=/127.0.0.1:33924, producerName=standalone-0-480, producerId=462}
hogar_alpes_pulsar  | 2026-09-21T04:28:11,766+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [standalone-0-480] Created producer on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650]
hogar_alpes_pulsar  | 2026-09-21T04:28:11,767+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-65706056-52ad-4a87-b963-874377da728d] Subscribing to topic on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650], consumerId 464
hogar_alpes_pulsar  | 2026-09-21T04:28:11,767+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [[id: 0x8430c51b, L:/127.0.0.1:6650 - R:/127.0.0.1:33924]] Subscribing on topic persistent://pulsar/standalone/localhost:8080/healthcheck / healthCheck-65706056-52ad-4a87-b963-874377da728d. consumerId: 464
hogar_alpes_pulsar  | 2026-09-21T04:28:11,768+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentTopic - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-65706056-52ad-4a87-b963-874377da728d] Creating non-durable subscription at msg id 9223372036854775807:9223372036854775807:-1:-1 - {}
hogar_alpes_pulsar  | 2026-09-21T04:28:11,768+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.NonDurableCursorImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck] Created non-durable cursor read-position=7:460 mark-delete-position=7:459
hogar_alpes_pulsar  | 2026-09-21T04:28:11,768+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.ManagedLedgerImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck] Opened new cursor: NonDurableCursorImpl{ledger=pulsar/standalone/localhost:8080/persistent/healthcheck, cursor=healthCheck-65706056-52ad-4a87-b963-874377da728d, ackPos=7:459, readPos=7:460}
hogar_alpes_pulsar  | 2026-09-21T04:28:11,768+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.ManagedCursorImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck-healthCheck-65706056-52ad-4a87-b963-874377da728d] Rewind from 7:460 to 7:460
hogar_alpes_pulsar  | 2026-09-21T04:28:11,768+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentTopic - [persistent://pulsar/standalone/localhost:8080/healthcheck] Disabled replicated subscriptions controller
hogar_alpes_pulsar  | 2026-09-21T04:28:11,768+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - backlog for persistent://pulsar/standalone/localhost:8080/healthcheck - 0
